job_id,job_title,category,industry,company,company_size,location,work_mode,experience_level,required_experience_years,salary_range,skills,job_description,posted_date
168,Research Analyst,Data & Analytics,Retail,DailyNeeds,SME,Delhi NCR,On-site,Intern,0,"₹7,900/mo - ₹20,200/mo","snowflake, python, data visualization, excel, tensorflow, vector databases, looker, statistics, stakeholder management, critical thinking, communication","As a Intern Research Analyst in the Retail domain at DailyNeeds, you will deliver high-quality outcomes. Collaborate with stakeholders to define KPIs and metrics. Build and maintain data pipelines and dashboards. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-09-25
169,Talent Acquisition Specialist,Human Resources,Consulting,AlphaAdvisors,MNC,Surat,On-site,Junior,3,"₹20,200/mo - ₹65,100/mo","compliance, hris, labour law, screening, ai hiring tools, kpi tracking, conflict resolution, problem solving, stakeholder management, attention to detail, time management, communication, empathy","As a Junior Talent Acquisition Specialist in the Consulting domain at AlphaAdvisors, you will deliver high-quality outcomes. Coordinate training and development programmes. Partner with teams to improve engagement and performance. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-02-08
170,Process Engineer,Mechanical & Manufacturing,Logistics,MoveIt,Startup,Bengaluru,Hybrid,Senior,7,"₹109,400/mo - ₹390,100/mo","python, cnc, lean manufacturing, iot, generative design, six sigma, gd&t, ownership, time management, teamwork, communication","As a Senior Process Engineer in the Logistics domain at MoveIt, you will collaborate with cross-functional teams. Ensure quality standards are met across production lines. Conduct root cause analysis for production issues. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-03-19
171,ML Engineer,Software Engineering,Technology,ByteWorks,MNC,Gurugram,Hybrid,Fresher,0,"₹16,500/mo - ₹47,100/mo","rest apis, rust, nginx, spring boot, java, azure, graphql, aws, jenkins, gcp, rabbitmq, critical thinking, teamwork, communication, attention to detail","As a Fresher ML Engineer in the Technology domain at ByteWorks, you will deliver high-quality outcomes. Build and maintain reliable APIs and services. Write clean, testable code and participate in code reviews. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-12-26
172,Payroll Specialist,Human Resources,Manufacturing,AlloyPro,MNC,Mumbai,Remote,Senior,7,"₹104,800/mo - ₹362,400/mo","excel, ai hiring tools, dei frameworks, linkedin recruiter, recruitment, workday, people analytics, training, time management, attention to detail, communication, stakeholder management, problem solving","As a Senior Payroll Specialist in the Manufacturing domain at AlloyPro, you will collaborate with cross-functional teams. Coordinate training and development programmes. Partner with teams to improve engagement and performance. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-25
173,Backend Developer,Software Engineering,E-commerce,BazaarPro,SME,Mumbai,Hybrid,Mid,3,"₹65,900/mo - ₹191,400/mo","django, github actions, golang, aws, mongodb, rust, postgresql, attention to detail, problem solving, mentorship, communication, teamwork","As a Mid Backend Developer in the E-commerce domain at BazaarPro, you will deliver high-quality outcomes. Build and maintain reliable APIs and services. Design and develop robust software systems. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-02-16
174,Employee Relations Specialist,Human Resources,Consulting,ProConsult,Startup,Bengaluru,On-site,Junior,1,"₹23,000/mo - ₹62,200/mo","screening, dei frameworks, people analytics, compliance, performance management, hr policies, recruitment, sap successfactors, linkedin recruiter, stakeholder management, problem solving, empathy","As a Junior Employee Relations Specialist in the Consulting domain at ProConsult, you will contribute to a high-performing team. Support hiring, onboarding and employee lifecycle processes. Partner with teams to improve engagement and performance. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-09-24
175,Product Marketing Manager,Marketing & Sales,Telecom,WaveComm,SME,Gurugram,Remote,Senior,8,"₹111,900/mo - ₹358,200/mo","ab testing, figma, data analytics, email marketing, excel, seo, content marketing, conversion optimization, customer focus, storytelling, communication, presentation","As a Senior Product Marketing Manager in the Telecom domain at WaveComm, you will deliver high-quality outcomes. Analyse campaign performance and optimize for ROI. Manage social media presence and content calendar. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-26
176,Growth Marketer,Marketing & Sales,Retail,PrimeStore,MNC,Noida,On-site,Junior,1,"₹21,800/mo - ₹72,200/mo","ga4, tiktok ads, seo, excel, canva, copywriting, data analytics, creativity, storytelling, customer focus","As a Junior Growth Marketer in the Retail domain at PrimeStore, you will contribute to a high-performing team. Manage social media presence and content calendar. Generate and nurture leads through multiple channels. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-02-23
177,Brand Manager,Marketing & Sales,E-commerce,BazaarPro,MNC,Delhi NCR,Hybrid,Mid,6,"₹47,900/mo - ₹162,100/mo","marketing automation, tiktok ads, social media, seo, ga4, sem, copywriting, meta ads, google ads, customer focus, creativity, problem solving, stakeholder management","As a Mid Brand Manager in the E-commerce domain at BazaarPro, you will build scalable solutions. Analyse campaign performance and optimize for ROI. Manage social media presence and content calendar. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-18
178,Pharmacovigilance Associate,Healthcare,Education,EduSpark,SME,Remote,On-site,Junior,2,"₹20,700/mo - ₹67,800/mo","ehr, medical terminology, pharmacovigilance, patient coordination, epic, telemedicine, clinical trials, healthcare analytics, attention to detail, teamwork, empathy, problem solving","As a Junior Pharmacovigilance Associate in the Education domain at EduSpark, you will deliver high-quality outcomes. Coordinate with clinical teams to support patient care. Ensure compliance with healthcare regulations and standards. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-11-21
179,Mobile App Developer,Software Engineering,Consulting,AlphaAdvisors,Startup,Jaipur,Hybrid,Fresher,1,"₹15,500/mo - ₹45,700/mo","nginx, llm apis, fastapi, typescript, webassembly, rust, rabbitmq, teamwork, problem solving, critical thinking","As a Fresher Mobile App Developer in the Consulting domain at AlphaAdvisors, you will build scalable solutions. Design and develop robust software systems. Build and maintain reliable APIs and services. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-12-09
180,BI Developer,Data & Analytics,Retail,StyleHub,Startup,Delhi NCR,Remote,Senior,7,"₹126,800/mo - ₹435,400/mo","statistics, data visualization, deep learning, data cleaning, streamlit, tensorflow, pandas, numpy, excel, looker, python, k-means, problem solving, storytelling, critical thinking, presentation","As a Senior BI Developer in the Retail domain at StyleHub, you will contribute to a high-performing team. Develop predictive models to support business decisions. Build and maintain data pipelines and dashboards. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-11
181,Inventory Planner,Operations & Supply Chain,Manufacturing,SteelWorks,Startup,Surat,Hybrid,Senior,7,"₹108,800/mo - ₹344,700/mo","six sigma, erp, oracle, python, supply chain analytics, supply chain ai, power bi, excel, tableau, lean, sap, forecasting, ownership, communication, problem solving","As a Senior Inventory Planner in the Manufacturing domain at SteelWorks, you will drive measurable impact. Identify process improvement opportunities. Coordinate with vendors and logistics partners. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-17
182,Backend Developer,Software Engineering,BFSI,TrustBank,MNC,Remote,Remote,Junior,3,"₹26,500/mo - ₹88,200/mo","rest apis, flask, python, terraform, vector databases, django, llm apis, ansible, redis, rust, typescript, mentorship, problem solving, teamwork, attention to detail","As a Junior Backend Developer in the BFSI domain at TrustBank, you will contribute to a high-performing team. Build and maintain reliable APIs and services. Design and develop robust software systems. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-12-30
183,Quality Engineer,Mechanical & Manufacturing,Logistics,RouteMaster,SME,Delhi NCR,On-site,Mid,4,"₹54,200/mo - ₹159,200/mo","cobots, iot, fmea, matlab, python, solidworks, project management, autocad, ansys, teamwork, communication, attention to detail","As a Mid Quality Engineer in the Logistics domain at RouteMaster, you will build scalable solutions. Support manufacturing process optimisation. Design and develop mechanical components and systems. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-11-25
184,Industrial Engineer,Mechanical & Manufacturing,Automobile,MotorPro,SME,Surat,Hybrid,Senior,12,"₹109,800/mo - ₹355,400/mo","project management, digital twin, quality control, gd&t, six sigma, generative design, catia, plc programming, 3d printing, root cause analysis, cnc, iot, attention to detail, communication, teamwork, problem solving, ownership, time management","As a Senior Industrial Engineer in the Automobile domain at MotorPro, you will contribute to a high-performing team. Support manufacturing process optimisation. Ensure quality standards are met across production lines. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-02-15
185,Public Health Analyst,Healthcare,BFSI,TrustBank,MNC,Bengaluru,On-site,Mid,5,"₹46,200/mo - ₹144,400/mo","lab management, ehr, sql, quality assurance, medical coding, patient coordination, pharmacovigilance, telemedicine, icd-10, digital health, medical terminology, clinical trials, problem solving, time management, communication, attention to detail, empathy","As a Mid Public Health Analyst in the BFSI domain at TrustBank, you will drive measurable impact. Coordinate with clinical teams to support patient care. Maintain accurate clinical documentation and patient records. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-11-16
186,Health Informatics Specialist,Healthcare,Education,MindBridge,Startup,Noida,On-site,Mid,5,"₹50,800/mo - ₹143,900/mo","epic, medical terminology, pharmacovigilance, ai diagnostics, sql, medical coding, cerner, icd-10, lab management, quality assurance, attention to detail, problem solving, time management, teamwork, communication, empathy","As a Mid Health Informatics Specialist in the Education domain at MindBridge, you will deliver high-quality outcomes. Ensure compliance with healthcare regulations and standards. Coordinate with clinical teams to support patient care. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-22
187,Structural Engineer,Mechanical & Manufacturing,Energy,GreenWatt,MNC,Ahmedabad,Hybrid,Junior,3,"₹24,300/mo - ₹65,400/mo","iot, 3d printing, python, generative design, six sigma, digital twin, solidworks, project management, problem solving, teamwork, communication, time management","As a Junior Structural Engineer in the Energy domain at GreenWatt, you will contribute to a high-performing team. Design and develop mechanical components and systems. Support manufacturing process optimisation. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-12-17
188,HR Data Analyst,Human Resources,FMCG,FreshGoods,MNC,Kolkata,On-site,Intern,0,"₹6,600/mo - ₹17,600/mo","onboarding, interviewing, employee relations, labour law, people analytics, hris, ai hiring tools, training, sap successfactors, linkedin recruiter, dei frameworks, kpi tracking, time management, empathy, stakeholder management, attention to detail, communication, problem solving","As a Intern HR Data Analyst in the FMCG domain at FreshGoods, you will drive measurable impact. Support hiring, onboarding and employee lifecycle processes. Coordinate training and development programmes. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-02-05
189,Embedded Systems Engineer,Software Engineering,E-commerce,BazaarPro,MNC,Jaipur,Remote,Mid,5,"₹58,200/mo - ₹192,000/mo","azure, postgresql, react, vector databases, graphql, typescript, docker, django, langchain, problem solving, ownership, attention to detail","As a Mid Embedded Systems Engineer in the E-commerce domain at BazaarPro, you will contribute to a high-performing team. Write clean, testable code and participate in code reviews. Build and maintain reliable APIs and services. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-03-17
190,CAD Designer,Mechanical & Manufacturing,Automobile,GearTech,MNC,Noida,On-site,Junior,2,"₹24,100/mo - ₹72,000/mo","cobots, six sigma, project management, additive manufacturing, fmea, python, solidworks, quality control, generative design, autocad, matlab, ownership, attention to detail, problem solving, time management, teamwork, communication","As a Junior CAD Designer in the Automobile domain at GearTech, you will build scalable solutions. Design and develop mechanical components and systems. Conduct root cause analysis for production issues. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-12-12
191,Data Scientist,Data & Analytics,BFSI,SecureFinance,Startup,Mumbai,Remote,Mid,4,"₹56,500/mo - ₹178,800/mo","pandas, vector databases, computer vision, streamlit, redshift, dbt, langchain, pytorch, machine learning, airflow, knn, communication, presentation, critical thinking, problem solving","As a Mid Data Scientist in the BFSI domain at SecureFinance, you will collaborate with cross-functional teams. Develop predictive models to support business decisions. Collaborate with stakeholders to define KPIs and metrics. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-12-17
192,Learning & Development Associate,Human Resources,Manufacturing,SteelWorks,MNC,Bengaluru,On-site,Mid,4,"₹50,800/mo - ₹155,500/mo","performance management, hris, workday, linkedin recruiter, onboarding, people analytics, screening, stakeholder management, empathy, problem solving, communication","As a Mid Learning & Development Associate in the Manufacturing domain at SteelWorks, you will build scalable solutions. Maintain HR data, reports and compliance documentation. Partner with teams to improve engagement and performance. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-14
193,SEO Specialist,Marketing & Sales,E-commerce,ShopEase,Startup,Jaipur,Hybrid,Mid,4,"₹51,700/mo - ₹156,500/mo","email marketing, google analytics, ai content tools, social media, sem, meta ads, google ads, data analytics, seo, salesforce, storytelling, communication, presentation","As a Mid SEO Specialist in the E-commerce domain at ShopEase, you will build scalable solutions. Manage social media presence and content calendar. Plan and execute digital marketing campaigns. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-02-24
194,Compliance Analyst,Finance & Accounting,Manufacturing,PrecisionMfg,MNC,Chennai,Hybrid,Mid,4,"₹49,600/mo - ₹172,700/mo","compliance, cash flow, p&l management, esg reporting, financial modeling, sql, forecasting, budgeting, taxation, critical thinking, ownership, problem solving","As a Mid Compliance Analyst in the Manufacturing domain at PrecisionMfg, you will build scalable solutions. Support budgeting, forecasting and financial planning. Analyse financial data to identify trends and risks. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-12
195,Tax Analyst,Finance & Accounting,FMCG,BrandPlus,Startup,Hyderabad,On-site,Mid,5,"₹51,500/mo - ₹165,800/mo","ind as, budgeting, risk management, accounting, python automation, esg reporting, bloomberg terminal, tally, audit, variance analysis, power bi, excel, stakeholder management, problem solving, attention to detail","As a Mid Tax Analyst in the FMCG domain at BrandPlus, you will build scalable solutions. Support budgeting, forecasting and financial planning. Prepare financial reports and variance analysis. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-10
196,Digital Marketing Specialist,Marketing & Sales,Telecom,SignalPro,MNC,Delhi NCR,Remote,Senior,7,"₹109,400/mo - ₹396,300/mo","google analytics, salesforce, hubspot, email marketing, data analytics, seo, canva, figma, google ads, lead generation, crm, presentation, problem solving, communication, stakeholder management, creativity","As a Senior Digital Marketing Specialist in the Telecom domain at SignalPro, you will deliver high-quality outcomes. Manage social media presence and content calendar. Analyse campaign performance and optimize for ROI. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-12
197,DevOps Engineer,Software Engineering,Telecom,SignalPro,MNC,Mumbai,On-site,Junior,3,"₹25,900/mo - ₹85,600/mo","langchain, python, rust, azure, fastapi, kafka, llm apis, ownership, teamwork, attention to detail, problem solving, critical thinking, mentorship","As a Junior DevOps Engineer in the Telecom domain at SignalPro, you will collaborate with cross-functional teams. Design and develop robust software systems. Write clean, testable code and participate in code reviews. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-11-26
198,HR Business Partner,Human Resources,Manufacturing,ManuCore,SME,Hyderabad,Remote,Mid,3,"₹48,300/mo - ₹154,300/mo","training, onboarding, dei frameworks, employee relations, labour law, linkedin recruiter, sap successfactors, payroll, kpi tracking, communication, time management, problem solving, attention to detail, empathy, stakeholder management","As a Mid HR Business Partner in the Manufacturing domain at ManuCore, you will collaborate with cross-functional teams. Coordinate training and development programmes. Partner with teams to improve engagement and performance. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-17
199,Digital Marketing Specialist,Marketing & Sales,FMCG,QuickFMCG,Startup,Surat,Remote,Senior,9,"₹115,600/mo - ₹385,200/mo","seo, figma, salesforce, canva, conversion optimization, data analytics, ai content tools, google ads, sem, communication, customer focus, creativity, problem solving, storytelling","As a Senior Digital Marketing Specialist in the FMCG domain at QuickFMCG, you will collaborate with cross-functional teams. Generate and nurture leads through multiple channels. Plan and execute digital marketing campaigns. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-09-24
200,Automation Engineer,Mechanical & Manufacturing,Logistics,MoveIt,MNC,Hyderabad,Remote,Junior,2,"₹22,400/mo - ₹71,200/mo","six sigma, fmea, quality control, 3d printing, generative design, additive manufacturing, autocad, cobots, python, gd&t, attention to detail, teamwork, problem solving, communication","As a Junior Automation Engineer in the Logistics domain at MoveIt, you will contribute to a high-performing team. Support manufacturing process optimisation. Design and develop mechanical components and systems. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-09-30
201,Clinical Data Coordinator,Healthcare,Consulting,StratEdge,SME,Kolkata,Hybrid,Intern,0,"₹7,300/mo - ₹17,900/mo","hipaa, lab management, medical terminology, epic, clinical documentation, cerner, medical coding, sql, healthcare analytics, time management, attention to detail, problem solving, empathy, communication","As a Intern Clinical Data Coordinator in the Consulting domain at StratEdge, you will deliver high-quality outcomes. Coordinate with clinical teams to support patient care. Ensure compliance with healthcare regulations and standards. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-12-13
202,Full Stack Developer,Software Engineering,Technology,SynapseAI,MNC,Gurugram,Hybrid,Senior,10,"₹122,500/mo - ₹425,000/mo","gcp, kubernetes, flask, llm apis, rabbitmq, node.js, mongodb, langchain, ansible, jenkins, problem solving, attention to detail, teamwork, ownership, communication, critical thinking","As a Senior Full Stack Developer in the Technology domain at SynapseAI, you will deliver high-quality outcomes. Design and develop robust software systems. Optimize application performance and scalability. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-21
203,Research Analyst,Data & Analytics,Consulting,ProConsult,SME,Surat,On-site,Junior,1,"₹24,100/mo - ₹74,200/mo","power bi, computer vision, data visualization, data modeling, spark, k-means, snowflake, communication, critical thinking, problem solving","As a Junior Research Analyst in the Consulting domain at ProConsult, you will deliver high-quality outcomes. Develop predictive models to support business decisions. Analyse large datasets to extract actionable insights. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-01
204,Clinical Research Associate,Healthcare,Healthcare,CurePlus,SME,Jaipur,Hybrid,Senior,10,"₹107,800/mo - ₹376,300/mo","telemedicine, sql, lab management, hipaa, medical terminology, quality assurance, pharmacovigilance, problem solving, empathy, communication","As a Senior Clinical Research Associate in the Healthcare domain at CurePlus, you will collaborate with cross-functional teams. Analyse health data to support operational decisions. Coordinate with clinical teams to support patient care. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-14
205,Growth Marketer,Marketing & Sales,Technology,NexGen Systems,Startup,Ahmedabad,On-site,Junior,3,"₹22,600/mo - ₹68,300/mo","ga4, copywriting, social media, seo, meta ads, canva, figma, communication, problem solving, storytelling","As a Junior Growth Marketer in the Technology domain at NexGen Systems, you will contribute to a high-performing team. Manage social media presence and content calendar. Generate and nurture leads through multiple channels. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-11
206,QA Engineer,Software Engineering,Consulting,ProConsult,Startup,Jaipur,Remote,Mid,4,"₹61,200/mo - ₹201,500/mo","git, typescript, mongodb, langchain, kafka, microservices, github actions, terraform, javascript, python, postgresql, django, teamwork, critical thinking, ownership, attention to detail, communication, mentorship","As a Mid QA Engineer in the Consulting domain at ProConsult, you will build scalable solutions. Write clean, testable code and participate in code reviews. Build and maintain reliable APIs and services. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-06
207,Risk Analyst,Data & Analytics,Consulting,PrimePath,Startup,Pune,Remote,Senior,10,"₹121,100/mo - ₹385,300/mo","deep learning, knn, excel, computer vision, sql, data visualization, dbt, power bi, data cleaning, presentation, communication, stakeholder management, problem solving, storytelling, critical thinking","As a Senior Risk Analyst in the Consulting domain at PrimePath, you will deliver high-quality outcomes. Analyse large datasets to extract actionable insights. Build and maintain data pipelines and dashboards. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-03-16
208,Cost Accountant,Finance & Accounting,BFSI,FinVista,MNC,Hyderabad,Remote,Senior,6,"₹115,400/mo - ₹393,200/mo","power bi, variance analysis, bloomberg terminal, audit, bookkeeping, forecasting, excel, accounting, taxation, budgeting, critical thinking, ownership, problem solving, attention to detail, stakeholder management, communication","As a Senior Cost Accountant in the BFSI domain at FinVista, you will collaborate with cross-functional teams. Ensure compliance with accounting standards and regulations. Support budgeting, forecasting and financial planning. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-11-16
209,Thermal Engineer,Mechanical & Manufacturing,Manufacturing,ManuCore,Startup,Surat,Remote,Intern,0,"₹7,500/mo - ₹19,700/mo","iot, quality control, root cause analysis, fmea, 3d printing, cobots, cnc, plc programming, problem solving, ownership, teamwork, attention to detail, communication, time management","As a Intern Thermal Engineer in the Manufacturing domain at ManuCore, you will deliver high-quality outcomes. Conduct root cause analysis for production issues. Support manufacturing process optimisation. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-02-16
210,Product Design Engineer,Mechanical & Manufacturing,Consulting,ProConsult,MNC,Remote,On-site,Mid,4,"₹53,500/mo - ₹151,700/mo","project management, cobots, cnc, ansys, generative design, six sigma, catia, iot, fmea, lean manufacturing, digital twin, ownership, problem solving, teamwork, attention to detail, time management","As a Mid Product Design Engineer in the Consulting domain at ProConsult, you will deliver high-quality outcomes. Conduct root cause analysis for production issues. Support manufacturing process optimisation. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-14
211,HR Business Partner,Human Resources,Technology,NexGen Systems,Startup,Mumbai,Hybrid,Fresher,0,"₹13,000/mo - ₹37,700/mo","excel, dei frameworks, employee relations, workday, hr policies, onboarding, screening, attention to detail, problem solving, empathy, communication","As a Fresher HR Business Partner in the Technology domain at NexGen Systems, you will build scalable solutions. Support hiring, onboarding and employee lifecycle processes. Maintain HR data, reports and compliance documentation. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-11-04
212,Software Engineer,Software Engineering,E-commerce,ShopEase,Startup,Noida,Remote,Mid,6,"₹61,000/mo - ₹188,300/mo","javascript, rust, redis, nginx, jenkins, azure, react, git, communication, problem solving, mentorship, attention to detail, teamwork, ownership","As a Mid Software Engineer in the E-commerce domain at ShopEase, you will drive measurable impact. Build and maintain reliable APIs and services. Optimize application performance and scalability. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-02-23
213,Platform Engineer,Software Engineering,BFSI,MoneyPro,Startup,Ahmedabad,On-site,Senior,7,"₹130,900/mo - ₹458,800/mo","linux, rest apis, nginx, langchain, ansible, webassembly, azure, kafka, python, spring boot, fastapi, mentorship, problem solving, ownership, communication, critical thinking","As a Senior Platform Engineer in the BFSI domain at MoneyPro, you will deliver high-quality outcomes. Design and develop robust software systems. Build and maintain reliable APIs and services. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-14
214,Research Analyst,Data & Analytics,Retail,StyleHub,Startup,Bengaluru,Hybrid,Fresher,1,"₹15,200/mo - ₹39,200/mo","power bi, matplotlib, data modeling, scikit-learn, vector databases, mlops, llm fine-tuning, python, numpy, problem solving, presentation, communication","As a Fresher Research Analyst in the Retail domain at StyleHub, you will build scalable solutions. Collaborate with stakeholders to define KPIs and metrics. Build and maintain data pipelines and dashboards. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-15
215,Healthcare Administrator,Healthcare,Education,SkillFirst,SME,Kolkata,Hybrid,Mid,5,"₹46,700/mo - ₹155,700/mo","epic, cerner, regulatory compliance, clinical documentation, telemedicine, medical terminology, data entry, sql, patient coordination, medical coding, problem solving, teamwork, time management","As a Mid Healthcare Administrator in the Education domain at SkillFirst, you will contribute to a high-performing team. Maintain accurate clinical documentation and patient records. Analyse health data to support operational decisions. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-12-14
216,Business Analyst,Data & Analytics,Retail,PrimeStore,SME,Hyderabad,Remote,Junior,1,"₹24,900/mo - ₹72,900/mo","sql, deep learning, ab testing, metabase, spark, tensorflow, pandas, machine learning, bigquery, r, numpy, storytelling, critical thinking, presentation","As a Junior Business Analyst in the Retail domain at PrimeStore, you will deliver high-quality outcomes. Analyse large datasets to extract actionable insights. Develop predictive models to support business decisions. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-11-09
217,Content Strategist,Marketing & Sales,Retail,PrimeStore,SME,Pune,Hybrid,Mid,4,"₹48,600/mo - ₹152,900/mo","google analytics, crm, marketing automation, google ads, meta ads, ab testing, salesforce, ga4, lead generation, figma, conversion optimization, influencer marketing, storytelling, problem solving, presentation, customer focus","As a Mid Content Strategist in the Retail domain at PrimeStore, you will contribute to a high-performing team. Generate and nurture leads through multiple channels. Manage social media presence and content calendar. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-11-09
218,Quality Control Analyst,Operations & Supply Chain,Logistics,OptiChain,SME,Gurugram,Remote,Junior,2,"₹22,200/mo - ₹63,200/mo","erp, tableau, process improvement, lean, sustainability ops, supply chain analytics, inventory management, six sigma, logistics, oracle, procurement, excel, time management, attention to detail, stakeholder management, ownership, communication, problem solving","As a Junior Quality Control Analyst in the Logistics domain at OptiChain, you will build scalable solutions. Coordinate with vendors and logistics partners. Track inventory levels and manage procurement processes. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-31
219,SEO Specialist,Marketing & Sales,Telecom,WaveComm,MNC,Jaipur,Remote,Senior,11,"₹114,000/mo - ₹377,700/mo","marketing automation, conversion optimization, tiktok ads, figma, hubspot, crm, lead generation, seo, data analytics, stakeholder management, presentation, storytelling, customer focus, communication","As a Senior SEO Specialist in the Telecom domain at WaveComm, you will contribute to a high-performing team. Generate and nurture leads through multiple channels. Plan and execute digital marketing campaigns. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-05
220,Compliance Analyst,Finance & Accounting,FMCG,QuickFMCG,Startup,Mumbai,On-site,Intern,0,"₹8,100/mo - ₹19,600/mo","python automation, ind as, forecasting, compliance, financial modeling, blockchain basics, variance analysis, ifrs, p&l management, gst, excel, communication, stakeholder management, critical thinking","As a Intern Compliance Analyst in the FMCG domain at QuickFMCG, you will collaborate with cross-functional teams. Support budgeting, forecasting and financial planning. Prepare financial reports and variance analysis. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-02-21
221,Vendor Manager,Operations & Supply Chain,Retail,PrimeStore,SME,Kolkata,On-site,Junior,3,"₹23,500/mo - ₹63,600/mo","lean, oracle, tableau, sustainability ops, forecasting, six sigma, logistics, excel, digital twin, time management, communication, problem solving, stakeholder management, ownership, attention to detail","As a Junior Vendor Manager in the Retail domain at PrimeStore, you will deliver high-quality outcomes. Monitor and optimise supply chain operations. Coordinate with vendors and logistics partners. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-19
